	Rope coordinates on image plane 
	x	y 
-0.133333	-0.19619
-0.131429	-0.19619
-0.129524	-0.19619
-0.142857	-0.19619
-0.140952	-0.19619
-0.139048	-0.19619
-0.137143	-0.19619
-0.135238	-0.19619
-0.133333	-0.19619
-0.131429	-0.19619
-0.129524	-0.19619
-0.144762	-0.194286
-0.142857	-0.194286
-0.140952	-0.194286
-0.139048	-0.194286
-0.137143	-0.194286
-0.135238	-0.194286
-0.133333	-0.194286
-0.131429	-0.194286
-0.129524	-0.194286
-0.144762	-0.192381
-0.142857	-0.192381
-0.140952	-0.192381
-0.139048	-0.192381
-0.137143	-0.192381
-0.135238	-0.192381
-0.133333	-0.192381
-0.131429	-0.192381
-0.129524	-0.192381
-0.146667	-0.190476
-0.144762	-0.190476
-0.142857	-0.190476
-0.140952	-0.190476
-0.139048	-0.190476
-0.137143	-0.190476
-0.135238	-0.190476
-0.133333	-0.190476
-0.131429	-0.190476
-0.146667	-0.188571
-0.144762	-0.188571
-0.142857	-0.188571
-0.140952	-0.188571
-0.139048	-0.188571
-0.137143	-0.188571
-0.135238	-0.188571
-0.133333	-0.188571
-0.146667	-0.186667
-0.144762	-0.186667
-0.142857	-0.186667
-0.140952	-0.186667
-0.139048	-0.186667
-0.137143	-0.186667
-0.135238	-0.186667
-0.146667	-0.184762
-0.144762	-0.184762
-0.142857	-0.184762
-0.140952	-0.184762
-0.139048	-0.184762
-0.137143	-0.184762
-0.135238	-0.184762
-0.146667	-0.182857
-0.144762	-0.182857
-0.142857	-0.182857
-0.140952	-0.182857
-0.139048	-0.182857
-0.137143	-0.182857
-0.135238	-0.182857
-0.146667	-0.180952
-0.144762	-0.180952
-0.142857	-0.180952
-0.140952	-0.180952
-0.139048	-0.180952
-0.137143	-0.180952
-0.135238	-0.180952
-0.146667	-0.179048
-0.144762	-0.179048
-0.142857	-0.179048
-0.140952	-0.179048
-0.139048	-0.179048
-0.137143	-0.179048
-0.135238	-0.179048
-0.144762	-0.177143
-0.142857	-0.177143
-0.140952	-0.177143
-0.139048	-0.177143
-0.137143	-0.177143
-0.148571	-0.175238
-0.146667	-0.175238
-0.144762	-0.175238
-0.142857	-0.175238
-0.140952	-0.175238
-0.150476	-0.173333
-0.148571	-0.173333
-0.146667	-0.173333
-0.144762	-0.173333
-0.142857	-0.173333
-0.140952	-0.173333
-0.139048	-0.173333
-0.150476	-0.171429
-0.148571	-0.171429
-0.146667	-0.171429
-0.144762	-0.171429
-0.142857	-0.171429
-0.140952	-0.171429
-0.139048	-0.171429
-0.150476	-0.169524
-0.148571	-0.169524
-0.146667	-0.169524
-0.144762	-0.169524
-0.142857	-0.169524
-0.140952	-0.169524
-0.139048	-0.169524
-0.150476	-0.167619
-0.148571	-0.167619
-0.146667	-0.167619
-0.144762	-0.167619
-0.142857	-0.167619
-0.140952	-0.167619
-0.152381	-0.165714
-0.150476	-0.165714
-0.148571	-0.165714
-0.146667	-0.165714
-0.144762	-0.165714
-0.142857	-0.165714
-0.140952	-0.165714
-0.154286	-0.16381
-0.152381	-0.16381
-0.150476	-0.16381
-0.148571	-0.16381
-0.146667	-0.16381
-0.144762	-0.16381
-0.142857	-0.16381
-0.140952	-0.16381
-0.15619	-0.161905
-0.154286	-0.161905
-0.152381	-0.161905
-0.150476	-0.161905
-0.148571	-0.161905
-0.146667	-0.161905
-0.144762	-0.161905
-0.142857	-0.161905
-0.140952	-0.161905
-0.15619	-0.16
-0.154286	-0.16
-0.152381	-0.16
-0.150476	-0.16
-0.148571	-0.16
-0.146667	-0.16
-0.144762	-0.16
-0.142857	-0.16
-0.140952	-0.16
-0.15619	-0.158095
-0.154286	-0.158095
-0.152381	-0.158095
-0.150476	-0.158095
-0.148571	-0.158095
-0.146667	-0.158095
-0.144762	-0.158095
-0.142857	-0.158095
-0.154286	-0.15619
-0.152381	-0.15619
-0.150476	-0.15619
-0.148571	-0.15619
-0.146667	-0.15619
-0.144762	-0.15619
-0.142857	-0.15619
